timestamp,lon,lat,temperature,deviceRef
2026-06-15 18:12:19.166,2.188058,41.43542,29.3,217475
2026-06-15 18:12:53.546,2.188061,41.435404,29.4,217475
2026-06-15 18:33:16.148,2.188101,41.435288,28.8,217475
2026-06-15 18:39:32.628,2.187942,41.435364,28.6,217475
2026-06-15 19:00:08.490,2.188016,41.435296,28.1,217475
2026-06-15 19:00:42.890,2.188018,41.435296,28.1,217475
2026-06-15 19:27:38.626,2.18798,41.435316,27.4,217475
2026-06-15 19:28:12.626,2.187994,41.43532,27.4,217475
2026-06-15 19:28:12.631,2.187802,41.43532,27.4,217475
2026-06-15 20:02:22.219,2.187957,41.435268,26.8,217475
2026-06-15 20:08:38.689,2.187988,41.435296,26.7,217475
2026-06-15 20:09:12.889,2.187986,41.435292,26.7,217475
2026-06-15 20:36:12.827,2.187955,41.435316,26.2,217475
2026-06-15 20:36:46.827,2.187954,41.435316,26.3,217475
2026-06-15 21:04:26.779,2.187928,41.435312,26.6,217475
2026-06-15 21:04:26.788,2.187928,41.435312,26.6,217475
2026-06-15 21:04:26.792,2.187928,41.435312,26.6,217475
2026-06-15 21:05:00.988,2.187926,41.435316,26.5,217475
2026-06-15 21:05:00.992,2.187926,41.435316,26.5,217475
2026-06-18 08:20:32.431,2.188051,41.435396,29.9,217475
2026-06-18 08:21:13.551,2.18801,41.435388,29.4,217475
2026-06-18 08:45:01.532,2.187933,41.435316,28.9,217475
2026-06-18 08:51:44.408,2.187948,41.435296,28.4,217475
2026-06-18 08:51:44.413,2.187948,41.435296,28.4,217475
2026-06-18 08:52:25.528,2.187937,41.435312,28.5,217475
2026-06-18 09:21:08.406,2.187903,41.435316,29.0,217475
2026-06-18 09:21:49.526,2.187938,41.435288,29.0,217475
2026-06-18 09:43:09.342,2.188007,41.435332,29.6,217475
2026-06-18 09:43:50.482,2.188001,41.435336,30.3,217475
2026-06-18 09:50:27.325,2.187933,41.435288,29.5,217475
2026-06-18 12:26:38.448,2.187906,41.43528,29.1,217475
2026-06-18 12:27:19.608,2.187938,41.435268,29.5,217475
